chr	start	end	exon	CCDS	ranks	len	strand
1	102921518	102921571	ENSE00001720223	CCDS778.1,CCDS53348.1,CCDS780.2	48,47,46	54	-1
1	102923336	102923389	ENSE00001747277	CCDS53348.1,CCDS778.1,CCDS780.2	46,47,45	54	-1
1	102935060	102935113	ENSE00001610967	CCDS780.2,CCDS778.1,CCDS53348.1	43,45,44	54	-1
1	102939035	102939088	ENSE00001771188	CCDS53348.1,CCDS778.1,CCDS780.2	43,44,42	54	-1
1	102961866	102961919	ENSE00001699188	CCDS53348.1,CCDS778.1,CCDS780.2	40,41,39	54	-1
1	102962176	102962265	ENSE00003470616	CCDS53348.1,CCDS778.1,CCDS780.2	39,40,38	90	-1
1	102965487	102965540	ENSE00001761817	CCDS53348.1,CCDS780.2,CCDS778.1	37,36,38	54	-1
1	102970219	102970272	ENSE00001620741	CCDS780.2,CCDS778.1,CCDS53348.1	35,37,36	54	-1
1	102974830	102974883	ENSE00001651679	CCDS53348.1,CCDS780.2,CCDS778.1	35,34,36	54	-1
1	102978708	102978752	ENSE00001658297	CCDS780.2,CCDS778.1,CCDS53348.1	33,35,34	45	-1
1	102978860	102978913	ENSE00001788956	CCDS778.1,CCDS780.2,CCDS53348.1	34,32,33	54	-1
1	102979060	102979104	ENSE00001752211	CCDS780.2,CCDS53348.1,CCDS778.1	31,32,33	45	-1
1	102979382	102979435	ENSE00001800387	CCDS780.2,CCDS53348.1,CCDS778.1	30,31,32	54	-1
1	102984138	102984191	ENSE00001732174	CCDS780.2,CCDS778.1,CCDS53348.1	29,31,30	54	-1
1	102989518	102989571	ENSE00001686096	CCDS53348.1,CCDS780.2,CCDS778.1	28,27,29	54	-1
1	102995864	102995908	ENSE00001788127	CCDS780.2,CCDS778.1,CCDS53348.1	26,28,27	45	-1
1	102995989	102996042	ENSE00001800254	CCDS53348.1,CCDS780.2,CCDS778.1	26,25,27	54	-1
1	102997080	102997124	ENSE00001778988	CCDS778.1,CCDS780.2,CCDS53348.1	26,24,25	45	-1
1	102998310	102998363	ENSE00001643037	CCDS778.1,CCDS780.2,CCDS53348.1	25,23,24	54	-1
1	103001925	103001969	ENSE00003682660	CCDS780.2,CCDS778.1,CCDS53348.1	22,24,23	45	-1
1	103002428	103002481	ENSE00003680678	CCDS778.1,CCDS780.2,CCDS53348.1	23,21,22	54	-1
1	103002747	103002791	ENSE00003612702	CCDS778.1,CCDS53348.1,CCDS780.2	22,21,20	45	-1
1	103003215	103003268	ENSE00003576215	CCDS780.2,CCDS778.1,CCDS53348.1	19,21,20	54	-1
1	103004444	103004488	ENSE00003498926	CCDS778.1,CCDS53348.1,CCDS780.2	20,19,18	45	-1
1	103004608	103004661	ENSE00003578816	CCDS780.2,CCDS778.1,CCDS53348.1	17,19,18	54	-1
1	103005838	103005891	ENSE00003694562	CCDS778.1,CCDS780.2,CCDS53348.1	18,16,17	54	-1
1	103006068	103006121	ENSE00003570061	CCDS780.2,CCDS53348.1,CCDS778.1	15,16,17	54	-1
1	103006262	103006315	ENSE00003591854	CCDS53348.1,CCDS780.2,CCDS778.1	15,14,16	54	-1
1	103008463	103008516	ENSE00001655366	CCDS53348.1,CCDS780.2,CCDS778.1	14,13,15	54	-1
1	103012413	103012469	ENSE00001746050	CCDS780.2,CCDS778.1,CCDS53348.1	12,14,13	57	-1
1	103014511	103014594	ENSE00001761510	CCDS53348.1,CCDS778.1,CCDS780.2	12,13,11	84	-1
1	103015668	103015742	ENSE00001741380	CCDS53348.1,CCDS778.1,CCDS780.2	11,12,10	75	-1
1	103017820	103017882	ENSE00001750340	CCDS780.2,CCDS53348.1,CCDS778.1	9,10,11	63	-1
1	103018818	103018859	ENSE00001753202	CCDS53348.1,CCDS778.1,CCDS780.2	9,10,8	42	-1
1	103021707	103021769	ENSE00001672922	CCDS53348.1,CCDS780.2,CCDS778.1	8,7,9	63	-1
1	103025521	103025613	ENSE00001633957	CCDS53348.1,CCDS778.1	6,7	93	-1
1	103527695	103527742	ENSE00003513940	CCDS781.1,CCDS781.1	2,3	48	1
1	103536126	103536194	ENSE00001740086	CCDS781.1,CCDS781.1	6,7	69	1
1	10368467	10368538	ENSE00000869761	CCDS111.1	42	72	1
1	10403071	10403136	ENSE00003506702	CCDS113.1	4	66	1
1	10495274	10495321	ENSE00003594889	CCDS30582.1	2	48	1
1	107617567	107617632	ENSE00003649608	CCDS44181.1,CCDS785.1	4,21	66	-1
1	107755427	107755513	ENSE00003529559	CCDS785.1	12	87	-1
1	107757261	107757329	ENSE00003693923	CCDS785.1	11	69	-1
1	107760784	107760879	ENSE00003532265	CCDS785.1	10	96	-1
1	107768441	107768509	ENSE00003568698	CCDS785.1	7	69	-1
1	107770636	107770728	ENSE00003482775	CCDS785.1	6	93	-1
1	108606223	108606252	ENSE00001365876	CCDS30786.2	3	30	1
1	108695702	108695770	ENSE00003579163	CCDS788.1	2	69	1
1	108793582	108793647	ENSE00000782924	CCDS790.1	12	66	1
1	108794827	108794907	ENSE00000782923	CCDS790.1	13	81	1
1	108798145	108798237	ENSE00003569608	CCDS790.1	16	93	1
1	108848752	108848814	ENSE00003729117	CCDS791.2	5	63	-1
1	108943836	108943907	ENSE00001361517	CCDS793.1	4	72	-1
1	109172488	109172568	ENSE00003484362	CCDS58015.1,CCDS794.1	5,5	81	1
1	109173474	109173557	ENSE00001665257	CCDS58015.1	6	84	1
1	109228352	109228432	ENSE00003676323	CCDS795.1	3	81	1
1	109369530	109369589	ENSE00003493181	CCDS798.1	2	60	-1
1	109402013	109402090	ENSE00002295991	CCDS55619.1	9	78	-1
1	109409928	109410014	ENSE00003518847	CCDS799.1,CCDS55619.1	8,8	87	-1
1	109467059	109467133	ENSE00000958195	CCDS41365.1	2	75	1
1	10958714	10958752	ENSE00003317474	CCDS53267.1	6	39	-1
1	109658814	109658909	ENSE00003686501	CCDS806.1,CCDS807.1	6,6	96	1
1	109671287	109671382	ENSE00003480674	CCDS808.1,CCDS44192.1,CCDS44192.1	6,6,6	96	1
1	109690271	109690366	ENSE00001715778	CCDS810.1,CCDS809.1	6,6	96	1
1	109714947	109715042	ENSE00003506812	CCDS811.1	6	96	1
1	109737656	109737751	ENSE00003484421	CCDS812.1,CCDS812.1	7,6	96	-1
1	109757481	109757555	ENSE00001024592	CCDS814.1,CCDS813.1,CCDS815.1	11,11,11	75	-1
1	109915634	109915696	ENSE00001304095	CCDS30797.1,CCDS816.1,CCDS816.1,CCDS817.1	3,3,3,3	63	1
1	110018552	110018650	ENSE00001151934	CCDS55620.1,CCDS818.1,CCDS55620.1	13,13,13	99	1
1	110019051	110019119	ENSE00001657443	CCDS55620.1,CCDS55620.1,CCDS818.1	14,14,14	69	1
1	110046680	110046751	ENSE00003602797	CCDS30798.1,CCDS59197.1	13,13	72	1
1	110047542	110047616	ENSE00003463201	CCDS30798.1,CCDS59197.1	14,14	75	1
1	11058800	11058892	ENSE00003658005	CCDS125.1	3	93	-1
1	11073934	11074008	ENSE00003673100	CCDS30584.1	19	75	-1
1	11074231	11074326	ENSE00003461728	CCDS126.1,CCDS30584.1	18,18	96	-1
1	11077601	11077651	ENSE00003466087	CCDS30584.1,CCDS126.1	15,15	51	-1
1	110894327	110894401	ENSE00003625024	CCDS829.1	4	75	1
1	110894960	110895055	ENSE00003568180	CCDS829.1	5	96	1
1	110896653	110896733	ENSE00003684533	CCDS829.1	6	81	1
1	110897809	110897892	ENSE00000958193	CCDS829.1	7	84	1
1	111118805	111118897	ENSE00003555845	CCDS30801.1,CCDS30801.1	8,8	93	-1
1	11114813	11114887	ENSE00003629136	CCDS127.1	52	75	-1
1	111189212	111189253	ENSE00001068513	CCDS60219.1,CCDS831.1	9,9	42	-1
1	111197176	111197253	ENSE00003494377	CCDS60219.1,CCDS831.1	5,5	78	-1
1	11128454	11128552	ENSE00001167858	CCDS127.1	42	99	-1
1	111347674	111347772	ENSE00003578356	CCDS833.1	3	99	1
1	11144968	11145045	ENSE00001167950	CCDS127.1	33	78	-1
1	111695341	111695409	ENSE00003508968	CCDS840.1,CCDS840.1	3,3	69	1
1	111697441	111697497	ENSE00003493422	CCDS840.1,CCDS840.1	4,4	57	1
1	111778436	111778492	ENSE00001159844	CCDS843.1	6	57	-1
1	111780225	111780314	ENSE00001159851	CCDS843.1,CCDS844.1,CCDS844.1	5,5,4	90	-1
1	11210814	11210906	ENSE00000743775	CCDS127.1	24	93	-1
1	11216148	11216234	ENSE00000743783	CCDS127.1	20	87	-1
1	11232436	11232528	ENSE00000743792	CCDS127.1	16	93	-1
1	11233398	11233487	ENSE00000743794	CCDS127.1	15	90	-1
1	112667074	112667145	ENSE00003630790	CCDS30805.1	8	72	1
1	112669543	112669605	ENSE00003673353	CCDS30805.1	9	63	1
1	112698715	112698789	ENSE00003671190	CCDS853.1,CCDS65615.1,CCDS853.1,CCDS853.1	16,18,17,17	75	1
1	113699704	113699799	ENSE00003600401	CCDS861.1,CCDS861.1	16,17	96	-1
1	113704081	113704167	ENSE00003676591	CCDS861.1,CCDS861.1	15,14	87	-1
1	113711746	113711835	ENSE00003466622	CCDS861.1,CCDS861.1	10,9	90	-1
1	113757699	113757755	ENSE00003545554	CCDS861.1,CCDS861.1	2,3	57	-1
1	113848540	113848626	ENSE00003657188	CCDS863.1	11	87	-1
1	113852027	113852104	ENSE00003533668	CCDS863.1	10	78	-1
1	113856382	113856441	ENSE00003484167	CCDS863.1,CCDS864.2	7,7	60	-1
1	113856548	113856619	ENSE00003679549	CCDS864.2,CCDS863.1	6,6	72	-1
1	113857738	113857776	ENSE00003545617	CCDS864.2,CCDS863.1	5,5	39	-1
1	113858478	113858573	ENSE00003610476	CCDS863.1,CCDS864.2	4,4	96	-1
1	113955563	113955649	ENSE00001696467	CCDS867.1,CCDS41370.1,CCDS868.1,CCDS869.1,CCDS867.1	5,4,5,3,5	87	1
1	114397940	114397990	ENSE00000784411	CCDS872.1	19	51	-1
1	114401389	114401463	ENSE00000784409	CCDS872.1,CCDS873.1	17,17	75	-1
1	114581299	114581391	ENSE00003489595	CCDS874.1	2	93	-1
1	114595832	114595873	ENSE00003685879	CCDS58018.1,CCDS875.1,CCDS58018.1	14,14,17	42	-1
1	114601508	114601585	ENSE00003495984	CCDS58018.1,CCDS875.1,CCDS58018.1	13,10,10	78	-1
1	114737471	114737563	ENSE00000784321	CCDS55626.1,CCDS30812.1,CCDS55626.1,CCDS30812.1	6,5,5,4	93	-1
1	114857444	114857497	ENSE00001435389	CCDS879.1,CCDS72840.1,CCDS879.1,CCDS879.1	5,5,5,5	54	1
1	114926278	114926340	ENSE00003605712	CCDS879.1,CCDS879.1,CCDS72840.1,CCDS879.1	22,22,22,22	63	1
1	114926501	114926563	ENSE00003627764	CCDS72840.1,CCDS879.1,CCDS879.1,CCDS879.1	23,23,23,23	63	1
1	114946289	114946381	ENSE00001435664	CCDS72840.1,CCDS879.1,CCDS879.1,CCDS879.1	26,26,26,26	93	1
1	114947246	114947320	ENSE00001435469	CCDS879.1,CCDS879.1,CCDS879.1	27,27,27	75	1
1	114977557	114977616	ENSE00003600395	CCDS879.1,CCDS879.1,CCDS72840.1,CCDS879.1	28,28,27,28	60	1
1	114994698	114994787	ENSE00003623064	CCDS879.1,CCDS879.1,CCDS72840.1,CCDS879.1	31,31,30,31	90	1
1	115053379	115053462	ENSE00003634510	CCDS881.1	7	84	-1
1	115057537	115057608	ENSE00003657578	CCDS881.1	6	72	-1
1	115058883	115058981	ENSE00001020902	CCDS881.1	5	99	-1
1	115060464	115060538	ENSE00001020901	CCDS881.1	4	75	-1
1	115702921	115702995	ENSE00001074020	CCDS884.1	10	75	-1
1	116384783	116384842	ENSE00001804292	CCDS53351.1,CCDS53352.1,CCDS887.1	3,3,3	60	1
1	11675082	11675174	ENSE00000743991	CCDS134.1,CCDS134.1,CCDS134.1	10,8,8	93	-1
1	11677543	11677614	ENSE00003511603	CCDS134.1,CCDS134.1,CCDS134.1	4,6,4	72	-1
1	117420569	117420649	ENSE00001630029	CCDS895.1	5	81	1
1	117939477	117939572	ENSE00003550321	CCDS898.1	6	96	1
1	117950834	117950890	ENSE00000785127	CCDS898.1	16	57	1
1	117952946	117952996	ENSE00000785133	CCDS898.1	20	51	1
1	117953476	117953541	ENSE00000785134	CCDS898.1	21	66	1
1	117954007	117954099	ENSE00000785135	CCDS898.1	22	93	1
1	117954580	117954627	ENSE00000785136	CCDS898.1	23	48	1
1	11807131	11807190	ENSE00003561762	CCDS138.1,CCDS57972.1	2,2	60	1
1	118150543	118150629	ENSE00001022616	CCDS899.1	3	87	-1
1	11815846	11815911	ENSE00003546374	CCDS138.1	3	66	1
1	11816615	11816680	ENSE00003688584	CCDS57972.1,CCDS138.1	3,4	66	1
1	119045582	119045662	ENSE00003564282	CCDS30817.1,CCDS900.1	3,3	81	-1
1	11966251	11966316	ENSE00003680837	CCDS142.1	15	66	1
1	119727004	119727102	ENSE00003622630	CCDS904.1	5	99	1
1	12244537	12244617	ENSE00003717983	CCDS30588.1,CCDS30589.1	5,5	81	1
1	12346605	12346652	ENSE00003668572	CCDS30589.1,CCDS30588.1	43,44	48	1
1	1256045	1256125	ENSE00003570987	CCDS16.1,CCDS15.1,CCDS14.1,CCDS16.1,CCDS14.1	5,7,6,6,6	81	-1
1	1287939	1288037	ENSE00003559189	CCDS44037.2	12	99	1
1	1299831	1299905	ENSE00003515599	CCDS19.2	9	75	-1
1	1299973	1300068	ENSE00003673334	CCDS19.2	8	96	-1
1	1300158	1300202	ENSE00003622960	CCDS19.2	7	45	-1
1	1302922	1302975	ENSE00003522844	CCDS19.2	4	54	-1
1	1313035	1313124	ENSE00003521162	CCDS21.1,CCDS57959.1,CCDS72678.1,CCDS57961.1,CCDS57960.1	11,12,9,9,13	90	-1
1	1313509	1313592	ENSE00003692932	CCDS57960.1,CCDS57961.1,CCDS57959.1,CCDS72678.1,CCDS21.1	12,8,11,8,10	84	-1
1	1315520	1315618	ENSE00003625354	CCDS21.1,CCDS57959.1,CCDS57961.1,CCDS57960.1	5,6,3,7	99	-1
1	1398597	1398671	ENSE00003497083	CCDS30558.1,CCDS30557.1	2,2	75	-1
1	1405809	1405886	ENSE00003478955	CCDS26.1	3	78	-1
1	144914692	144914754	ENSE00003712932	CCDS72854.1	5	63	-1
1	1455460	1455519	ENSE00001654495	CCDS44039.1	5	60	1
1	145616234	145616293	ENSE00003559230	CCDS72857.1	2	60	1
1	145647175	145647267	ENSE00003548922	CCDS72858.1,CCDS72857.1,CCDS72858.1	11,10,10	93	1
1	145663329	145663424	ENSE00003518078	CCDS72858.1,CCDS72857.1,CCDS72858.1	12,11,11	96	1
1	145665562	145665651	ENSE00003473687	CCDS72858.1,CCDS72857.1,CCDS72858.1	12,12,13	90	1
1	145669625	145669690	ENSE00003553143	CCDS72858.1,CCDS72857.1,CCDS72858.1	14,13,13	66	1
1	145833490	145833582	ENSE00003472678	CCDS72864.1	7	93	1
1	145836494	145836574	ENSE00003526905	CCDS72864.1	8	81	1
1	145846598	145846690	ENSE00001340185	CCDS72865.1	4	93	1
1	145847250	145847348	ENSE00003707658	CCDS72865.1	5	99	1
1	145867991	145868056	ENSE00001768088	CCDS72867.1,CCDS72868.1	12,10	66	-1
1	145868311	145868400	ENSE00001602316	CCDS72868.1,CCDS72867.1	9,11	90	-1
1	145877968	145877988	ENSE00003719410	CCDS72868.1	2	21	-1
1	145893540	145893635	ENSE00001068796	CCDS72869.1	28	96	-1
1	145895631	145895711	ENSE00001068798	CCDS72869.1	26	81	-1
1	145897247	145897339	ENSE00001002941	CCDS72869.1	21	93	-1
1	145936908	145936985	ENSE00002690833	CCDS72873.1	5	78	-1
1	145937604	145937699	ENSE00002699070	CCDS72873.1	4	96	-1
1	147161712	147161780	ENSE00003664558	CCDS925.1	7	69	-1
1	1479049	1479108	ENSE00003608502	CCDS30.1	4	60	1
1	147936627	147936686	ENSE00003544211	CCDS930.1	2	60	1
1	147969867	147969959	ENSE00003662903	CCDS930.1	10	93	1
1	147986199	147986294	ENSE00003646302	CCDS930.1	11	96	1
1	147988432	147988521	ENSE00003648755	CCDS930.1	12	90	1
1	147992502	147992567	ENSE00003556238	CCDS930.1	13	66	1
1	1485782	1485838	ENSE00003655926	CCDS30.1	9	57	1
1	148962196	148962288	ENSE00003735953	CCDS72888.1,CCDS72892.1,CCDS72894.1,CCDS72890.1,CCDS72891.1	11,8,4,8,8	93	1
1	149909801	149909890	ENSE00001043685	CCDS940.1	6	90	-1
1	150076916	150076984	ENSE00003659227	CCDS944.1	5	69	1
1	150076946	150076984	ENSE00003564036	CCDS72904.1	2	39	1
1	150262525	150262620	ENSE00003496248	CCDS947.1	5	96	1
1	150332684	150332767	ENSE00003591399	CCDS951.1	5	84	1
1	150496810	150496908	ENSE00003604445	CCDS952.1	9	99	1
1	150499216	150499293	ENSE00003696948	CCDS952.1,CCDS60251.1,CCDS60252.1	13,11,9	78	1
1	150626479	150626526	ENSE00003463261	CCDS962.1,CCDS959.1,CCDS960.1	3,3,3	48	-1
1	15063572	15063622	ENSE00001727729	CCDS41268.1,CCDS30604.1,CCDS41267.1,CCDS41268.1,CCDS152.2	7,7,8,7,7	51	1
1	150700112	150700183	ENSE00003469401	CCDS967.1,CCDS55633.1	14,13	72	-1
1	150703310	150703393	ENSE00003632650	CCDS967.1,CCDS55633.1	13,12	84	-1
1	150711545	150711571	ENSE00001044434	CCDS55633.1,CCDS967.1	6,7	27	-1
1	150711833	150711853	ENSE00001435820	CCDS967.1	6	21	-1
1	150826543	150826617	ENSE00001186051	CCDS971.1,CCDS65642.1,CCDS970.1,CCDS65641.1	12,13,13,14	75	-1
1	150967392	150967484	ENSE00003696158	CCDS973.1,CCDS973.1	7,7	93	-1
1	150967664	150967714	ENSE00003694859	CCDS973.1,CCDS973.1	6,6	51	-1
1	150986602	150986661	ENSE00000959869	CCDS975.2	9	60	1
1	151017812	151017904	ENSE00003666187	CCDS977.1	2	93	1
1	151139425	151139481	ENSE00001044836	CCDS53364.1,CCDS984.1,CCDS53363.1,CCDS984.1	6,6,6,6	57	-1
1	151224371	151224406	ENSE00003603586	CCDS44219.1	3	36	1
1	151227320	151227400	ENSE00003602128	CCDS990.1,CCDS44219.1,CCDS44220.1,CCDS44221.1	3,4,3,3	81	1
1	151264832	151264918	ENSE00003536253	CCDS991.1	4	87	1
1	151265166	151265234	ENSE00003668859	CCDS991.1	5	69	1
1	151310211	151310255	ENSE00001756379	CCDS993.1	4	45	-1
1	151365189	151365281	ENSE00003649409	CCDS60266.1,CCDS58027.1,CCDS995.1	10,9,10	93	-1
1	151520596	151520691	ENSE00000959672	CCDS999.1	5	96	1
1	151535042	151535131	ENSE00000959683	CCDS999.1	16	90	1
1	151535600	151535683	ENSE00003604275	CCDS999.1	17	84	1
1	151562091	151562165	ENSE00003477004	CCDS1000.1	2	75	1
1	151563904	151563990	ENSE00003588108	CCDS44223.1,CCDS1000.1	3,4	87	1
1	151564525	151564614	ENSE00003524221	CCDS1000.1,CCDS44223.1	5,4	90	1
1	151566163	151566228	ENSE00003524747	CCDS1000.1,CCDS44223.1	6,5	66	1
1	151579649	151579732	ENSE00000959608	CCDS44223.1,CCDS1000.1	10,11	84	1
1	151683356	151683445	ENSE00003548764	CCDS1001.1	8	90	1
1	151693424	151693483	ENSE00003511664	CCDS1001.1	11	60	1
1	151721537	151721620	ENSE00001704762	CCDS53368.1	1	84	1
1	151760816	151760899	ENSE00003533593	CCDS72916.1,CCDS1003.1	5,6	84	-1
1	151762105	151762155	ENSE00003544764	CCDS72916.1,CCDS1003.1	4,4	51	-1
1	151767225	151767299	ENSE00001262574	CCDS58028.1	3	75	1
1	1517716	1517775	ENSE00003689904	CCDS53260.1,CCDS53259.1,CCDS31.1	4,4,4	60	1
1	151780051	151780140	ENSE00003504467	CCDS41395.1	4	90	-1
1	1523511	1523567	ENSE00001745869	CCDS53260.1,CCDS31.1,CCDS53259.1	9,9,9	57	1
1	153668000	153668077	ENSE00001175629	CCDS72919.1,CCDS1050.1	5,5	78	-1
1	153685806	153685880	ENSE00001794899	CCDS1051.1	9	75	1
1	153686123	153686200	ENSE00001765269	CCDS1051.1	10	78	1
1	153687016	153687087	ENSE00001780748	CCDS1051.1	12	72	1
1	153689453	153689521	ENSE00003695921	CCDS1051.1	18	69	1
1	153740651	153740734	ENSE00003539254	CCDS1052.1,CCDS1052.1	3,2	84	1
1	153741285	153741368	ENSE00003467355	CCDS1052.1,CCDS1052.1	3,4	84	1
1	153768893	153768961	ENSE00003475506	CCDS1052.1,CCDS1052.1	22,23	69	1
1	153972744	153972836	ENSE00003465238	CCDS58029.1,CCDS1056.1,CCDS1056.1,CCDS1056.1	5,5,5,5	93	1
1	153982391	153982444	ENSE00003677387	CCDS1058.1,CCDS72921.1	7,7	54	-1
1	153982535	153982600	ENSE00003580362	CCDS72921.1,CCDS1058.1	6,6	66	-1
1	153982719	153982808	ENSE00003625893	CCDS72921.1,CCDS1058.1	5,5	90	-1
1	153983219	153983296	ENSE00003461040	CCDS1058.1,CCDS72921.1	4,4	78	-1
1	154046289	154046369	ENSE00001072800	CCDS53370.1,CCDS41399.1	26,26	81	-1
1	154054770	154054832	ENSE00001072787	CCDS53370.1,CCDS41399.1	24,24	63	-1
1	154170649	154170711	ENSE00003653874	CCDS41402.1,CCDS41401.1,CCDS60275.1,CCDS41403.1,CCDS41400.1,CCDS1060.1,CCDS60274.1	6,6,6,7,6,6,6	63	-1
1	154227282	154227359	ENSE00000960896	CCDS44229.1,CCDS1063.1,CCDS1063.1,CCDS72925.1	3,2,3,3	78	1
1	154258977	154259030	ENSE00003653438	CCDS1063.1,CCDS1063.1,CCDS44229.1,CCDS72925.1	20,21,21,21	54	1
1	154331048	154331146	ENSE00003677098	CCDS41405.1,CCDS1066.1	5,5	99	1
1	154345800	154345883	ENSE00000960582	CCDS1066.1	24	84	1
1	154551397	154551492	ENSE00003686176	CCDS1069.1	11	96	-1
1	154554735	154554785	ENSE00003533580	CCDS1069.1	4	51	-1
1	154569792	154569836	ENSE00001053946	CCDS1070.1	3	45	1
1	154822089	154822184	ENSE00003568203	CCDS1072.1,CCDS72928.1,CCDS30880.1	2,2,2	96	-1
1	154968204	154968257	ENSE00001622454	CCDS1076.1,CCDS44234.1,CCDS30881.1,CCDS44233.1	6,6,5,5	54	-1
1	155046125	155046220	ENSE00001073722	CCDS1083.1,CCDS44235.1	12,11	96	1
1	155055790	155055852	ENSE00003699190	CCDS44236.1,CCDS1086.1,CCDS1087.1,CCDS1088.1,CCDS60282.1,CCDS58031.1,CCDS1084.1,CCDS58032.1,CCDS1085.1	7,7,7,7,7,7,7,7,7	63	1
1	155055932	155056000	ENSE00003696095	CCDS1086.1,CCDS1088.1,CCDS58032.1,CCDS60282.1,CCDS1084.1,CCDS58031.1,CCDS1085.1,CCDS1087.1,CCDS44236.1	8,8,8,8,8,8,8,8,8	69	1
1	155057637	155057729	ENSE00003699780	CCDS1084.1,CCDS1085.1,CCDS60282.1,CCDS1088.1,CCDS58031.1,CCDS58032.1,CCDS44236.1,CCDS1086.1,CCDS1087.1	13,13,13,13,13,13,13,13,13	93	1
1	155058710	155058787	ENSE00003639515	CCDS1084.1,CCDS1088.1,CCDS1086.1,CCDS58031.1,CCDS1085.1,CCDS1087.1,CCDS44236.1,CCDS58032.1	16,16,16,16,16,16,16,16	78	1
1	15505990	15506079	ENSE00003469239	CCDS159.2,CCDS158.1	5,5	90	-1
1	155061415	155061489	ENSE00003496245	CCDS1087.1,CCDS1085.1	20,20	75	1
1	155061418	155061489	ENSE00003517191	CCDS44236.1	20	72	1
1	155061904	155061975	ENSE00003677858	CCDS44236.1,CCDS1086.1,CCDS1087.1	21,20,21	72	1
1	155136299	155136376	ENSE00003516213	CCDS44239.1,CCDS72929.1	2,2	78	1
1	155173967	155174029	ENSE00001841725	CCDS1097.1	1	63	1
1	155177195	155177290	ENSE00003687423	CCDS60285.1,CCDS1097.1,CCDS72932.1,CCDS72931.1,CCDS58033.1	5,5,4,5,5	96	1
1	155187455	155187544	ENSE00003651704	CCDS72936.1	4	90	-1
1	155188163	155188231	ENSE00003640230	CCDS30882.1,CCDS72936.1,CCDS41408.1,CCDS30883.1	3,3,3,3	69	-1
1	155201957	155202034	ENSE00003669305	CCDS72937.1,CCDS58034.1,CCDS1099.1	9,8,10	78	-1
1	155212127	155212219	ENSE00003704224	CCDS1100.1	4	93	1
1	155254400	155254456	ENSE00003643914	CCDS1103.1	2	57	-1
1	155261657	155261734	ENSE00003552821	CCDS1105.1	2	78	-1
1	155317941	155318021	ENSE00003534119	CCDS44241.1,CCDS1110.1,CCDS44241.1,CCDS1110.1,CCDS44241.1	4,5,4,5,4	81	1
1	155319611	155319688	ENSE00003495546	CCDS1110.1,CCDS44241.1,CCDS72940.1,CCDS1110.1,CCDS44241.1,CCDS44241.1	9,8,7,9,8,8	78	1
1	155346383	155346469	ENSE00002362078	CCDS1113.2	21	87	-1
