chr	start	end	exon	CCDS	transcript_ids	ranks	len	strand
1	9992861	9992956	ENSE00001065226	"CCDS107.1,CCDS107.1,CCDS107.1"	"ENST00000377213,ENST00000400903,ENST00000377223"	"6,5,6"	96	-1
1	9994820	9994918	ENSE00001065231	"CCDS107.1,CCDS107.1,CCDS107.1"	"ENST00000377213,ENST00000400903,ENST00000377223"	"5,4,5"	99	-1
1	10068231	10068332	ENSE00001065246	CCDS109.1	ENST00000294435	3	102	1
1	10186852	10186935	ENSE00001049386	"CCDS110.1,CCDS41245.1"	"ENST00000253251,ENST00000343090"	"10,11"	84	1
1	10189450	10189506	ENSE00001049372	"CCDS110.1,CCDS41245.1"	"ENST00000253251,ENST00000343090"	"11,12"	57	1
1	10190773	10190871	ENSE00001049373	"CCDS110.1,CCDS41245.1"	"ENST00000253251,ENST00000343090"	"13,14"	99	1
1	10321963	10322028	ENSE00001362525	"CCDS112.1,CCDS111.1,CCDS112.1"	"ENST00000377083,ENST00000263934,ENST00000377093"	"5,5,5"	66	1
1	10331560	10331637	ENSE00001362517	"CCDS112.1,CCDS111.1,CCDS112.1"	"ENST00000377083,ENST00000263934,ENST00000377093"	"8,8,8"	78	1
1	10332299	10332364	ENSE00001362516	"CCDS111.1,CCDS112.1,CCDS112.1"	"ENST00000263934,ENST00000377093,ENST00000377083"	"9,9,9"	66	1
1	10428525	10428596	ENSE00000869761	CCDS111.1	ENST00000263934	42	72	1
1	10463128	10463193	ENSE00001636602	CCDS113.1	ENST00000270776	4	66	1
1	10555331	10555378	ENSE00001148278	CCDS30582.1	ENST00000356607	2	48	1
1	11118857	11118949	ENSE00000743128	CCDS125.1	ENST00000376957	3	93	-1
1	11133991	11134065	ENSE00001168157	CCDS30584.1	ENST00000376936	19	75	-1
1	11134288	11134383	ENSE00001168190	"CCDS30584.1,CCDS126.1"	"ENST00000376936,ENST00000304457"	"18,18"	96	-1
1	11137658	11137708	ENSE00001168210	"CCDS30584.1,CCDS126.1"	"ENST00000376936,ENST00000304457"	"15,15"	51	-1
1	11151550	11151654	ENSE00001168299	"CCDS30584.1,CCDS126.1"	"ENST00000376936,ENST00000304457"	"4,4"	105	-1
1	11174870	11174944	ENSE00001167789	CCDS127.1	ENST00000361445	52	75	-1
1	11188511	11188609	ENSE00001167858	CCDS127.1	ENST00000361445	42	99	-1
1	11204705	11204812	ENSE00001167940	CCDS127.1	ENST00000361445	34	108	-1
1	11205025	11205102	ENSE00001167950	CCDS127.1	ENST00000361445	33	78	-1
1	11270871	11270963	ENSE00000743775	CCDS127.1	ENST00000361445	24	93	-1
1	11276205	11276291	ENSE00000743783	CCDS127.1	ENST00000361445	20	87	-1
1	11292493	11292585	ENSE00000743792	CCDS127.1	ENST00000361445	16	93	-1
1	11293455	11293544	ENSE00000743794	CCDS127.1	ENST00000361445	15	90	-1
1	11735139	11735231	ENSE00000743991	"CCDS134.1,CCDS134.1,CCDS134.1"	"ENST00000376667,ENST00000235310,ENST00000376692"	"8,10,8"	93	-1
1	11737600	11737671	ENSE00000743996	"CCDS134.1,CCDS134.1,CCDS134.1"	"ENST00000376667,ENST00000235310,ENST00000376692"	"4,6,4"	72	-1
1	11852335	11852436	ENSE00001225797	"CCDS137.1,CCDS137.1"	"ENST00000376590,ENST00000376592"	"10,9"	102	-1
1	11866320	11866406	ENSE00001862891	"CCDS41251.1,CCDS41250.1,CCDS41249.1"	"ENST00000376491,ENST00000376490,ENST00000376492"	"1,1,1"	87	1
1	11867188	11867247	ENSE00001220459	"CCDS41251.1,CCDS138.1,CCDS41250.1,CCDS41249.1,CCDS41249.1"	"ENST00000376491,ENST00000346436,ENST00000376490,ENST00000312413,ENST00000376492"	"2,2,2,2,2"	60	1
1	11875903	11875968	ENSE00000744547	"CCDS41251.1,CCDS138.1,CCDS41250.1,CCDS41249.1,CCDS41249.1"	"ENST00000376491,ENST00000346436,ENST00000376490,ENST00000312413,ENST00000376492"	"3,3,3,3,3"	66	1
1	11876672	11876737	ENSE00000432415	"CCDS41251.1,CCDS138.1,CCDS41250.1,CCDS41249.1,CCDS41249.1"	"ENST00000376491,ENST00000346436,ENST00000376490,ENST00000312413,ENST00000376492"	"4,4,4,4,4"	66	1
1	11886213	11886281	ENSE00001211501	CCDS41250.1	ENST00000376490	9	69	1
1	11898392	11898499	ENSE00001638226	CCDS138.1	ENST00000346436	21	108	1
1	12017899	12018000	ENSE00002145151	CCDS142.1	ENST00000196061	8	102	1
1	12026308	12026373	ENSE00001666991	CCDS142.1	ENST00000196061	15	66	1
1	12027044	12027148	ENSE00001803570	CCDS142.1	ENST00000196061	16	105	1
1	12059045	12059152	ENSE00001698937	"CCDS30587.1,CCDS30587.1"	"ENST00000444836,ENST00000235329"	"7,8"	108	1
1	12064566	12064670	ENSE00001618211	"CCDS30587.1,CCDS30587.1"	"ENST00000444836,ENST00000235329"	"12,13"	105	1
1	12304594	12304674	ENSE00000432518	"CCDS30588.1,CCDS30589.1"	"ENST00000358136,ENST00000356315"	"5,5"	81	1
1	12313779	12313883	ENSE00000746904	"CCDS30589.1,CCDS30588.1"	"ENST00000356315,ENST00000358136"	"7,7"	105	1
1	12320750	12320851	ENSE00000432526	"CCDS30588.1,CCDS30589.1"	"ENST00000358136,ENST00000356315"	"11,11"	102	1
1	12406662	12406709	ENSE00001469872	"CCDS30588.1,CCDS30589.1"	"ENST00000358136,ENST00000356315"	"44,43"	48	1
1	15390068	15390118	ENSE00001727729	"CCDS41268.1,CCDS41267.1,CCDS41268.1,CCDS30604.1,CCDS152.2,CCDS41267.1"	"ENST00000400797,ENST00000503743,ENST00000400798,ENST00000361144,ENST00000376030,ENST00000422387"	"7,8,7,7,7,7"	51	1
1	15429855	15429956	ENSE00001364445	CCDS152.2	ENST00000376030	12	102	1
1	15832485	15832574	ENSE00000906102	CCDS158.1	ENST00000333868	5	90	-1
1	15873262	15873366	ENSE00000750461	CCDS30606.1	ENST00000375847	6	105	1
1	16064424	16064489	ENSE00001065428	CCDS162.1	ENST00000294454	2	66	1
1	16353031	16353108	ENSE00001677163	"CCDS167.1,CCDS41269.1,CCDS41269.1"	"ENST00000331433,ENST00000375692,ENST00000420078"	"6,7,6"	78	1
1	16358938	16359021	ENSE00001718331	CCDS167.1	ENST00000331433	18	84	1
1	16358941	16359021	ENSE00001776310	"CCDS41269.1,CCDS41269.1"	"ENST00000375692,ENST00000420078"	"19,18"	81	1
1	16359665	16359751	ENSE00001784874	"CCDS41269.1,CCDS41269.1,CCDS167.1"	"ENST00000375692,ENST00000420078,ENST00000331433"	"20,19,19"	87	1
1	16374838	16374915	ENSE00001705434	CCDS168.1	ENST00000375679	6	78	1
1	16382170	16382253	ENSE00001682331	CCDS168.1	ENST00000375679	18	84	1
1	16382917	16383003	ENSE00001629974	CCDS168.1	ENST00000375679	19	87	1
1	16388994	16389029	ENSE00001770705	CCDS41270.1	ENST00000375662	3	36	-1
1	16531582	16531671	ENSE00000955441	CCDS170.1	ENST00000270747	11	90	-1
1	16531846	16531920	ENSE00000955440	CCDS170.1	ENST00000270747	10	75	-1
1	16579591	16579647	ENSE00000752041	CCDS30613.1	ENST00000375592	8	57	-1
1	17256619	17256702	ENSE00001761542	CCDS30616.1	ENST00000375541	5	84	1
1	17264895	17264978	ENSE00001615487	CCDS30616.1	ENST00000375541	11	84	1
1	17318981	17319076	ENSE00001045148	"CCDS44073.1,CCDS44072.1,CCDS175.1"	"ENST00000452699,ENST00000341676,ENST00000326735"	"17,17,17"	96	-1
1	17350468	17350569	ENSE00000753383	CCDS176.1	ENST00000375499	6	102	-1
1	17409040	17409147	ENSE00000855570	CCDS177.1	ENST00000375486	10	108	-1
1	17557067	17557174	ENSE00001635738	CCDS178.1	ENST00000375471	10	108	1
1	17599835	17599942	ENSE00001613238	CCDS179.1	ENST00000375460	10	108	1
1	17674436	17674543	ENSE00001044980	CCDS180.1	ENST00000375448	10	108	1
1	17736470	17736547	ENSE00001267864	"CCDS181.1,CCDS181.1"	"ENST00000375433,ENST00000375436"	"11,12"	78	-1
1	17948359	17948436	ENSE00000896636	"CCDS30617.1,CCDS30617.1,CCDS182.1"	"ENST00000375415,ENST00000452522,ENST00000361221"	"9,10,11"	78	1
1	17952451	17952543	ENSE00000955285	"CCDS30617.1,CCDS182.1,CCDS30617.1"	"ENST00000452522,ENST00000361221,ENST00000375415"	"13,14,12"	93	1
1	17981131	17981217	ENSE00000955288	"CCDS30617.1,CCDS182.1,CCDS30617.1"	"ENST00000452522,ENST00000361221,ENST00000375415"	"22,23,21"	87	1
1	19203702	19203749	ENSE00001768721	"CCDS188.1,CCDS188.1"	"ENST00000290597,ENST00000375341"	"11,11"	48	-1
1	19209618	19209692	ENSE00002374735	"CCDS188.1,CCDS188.1"	"ENST00000375341,ENST00000290597"	"7,7"	75	-1
1	19212958	19213005	ENSE00001161768	"CCDS188.1,CCDS188.1"	"ENST00000290597,ENST00000375341"	"4,4"	48	-1
1	19215856	19215948	ENSE00001789671	"CCDS188.1,CCDS188.1"	"ENST00000290597,ENST00000375341"	"3,3"	93	-1
1	19237878	19237970	ENSE00002333549	CCDS44076.1	ENST00000455833	7	93	-1
1	19246172	19246267	ENSE00002326442	CCDS44076.1	ENST00000455833	3	96	-1
1	19422039	19422146	ENSE00001660182	CCDS189.1	ENST00000375254	93	108	-1
1	19426091	19426171	ENSE00001596348	CCDS189.1	ENST00000375254	90	81	-1
1	19454705	19454812	ENSE00001796552	CCDS189.1	ENST00000375254	62	108	-1
1	19518975	19519034	ENSE00001603717	CCDS189.1	ENST00000375254	10	60	-1
1	19565289	19565351	ENSE00000908596	CCDS190.1	ENST00000477853	10	63	-1
1	19565725	19565796	ENSE00001801402	CCDS190.1	ENST00000477853	9	72	-1
1	19596945	19597049	ENSE00001607315	CCDS192.2	ENST00000429712	3	105	-1
1	19612382	19612486	ENSE00001784129	CCDS193.1	ENST00000361640	3	105	-1
1	19634652	19634756	ENSE00001736745	CCDS194.1	ENST00000235835	3	105	-1
1	19653025	19653117	ENSE00000754903	"CCDS195.2,CCDS195.2,CCDS30618.1"	"ENST00000375153,ENST00000375155,ENST00000400548"	"6,7,6"	93	1
1	21012539	21012619	ENSE00000756250	"CCDS44079.1,CCDS213.1"	"ENST00000400463,ENST00000247986"	"9,9"	81	-1
1	21039947	21040048	ENSE00001361634	"CCDS44079.1,CCDS213.1"	"ENST00000400463,ENST00000247986"	"3,3"	102	-1
1	21053494	21053568	ENSE00001730892	CCDS44080.1	ENST00000444387	4	75	-1
1	21054016	21054096	ENSE00001779695	CCDS44080.1	ENST00000444387	3	81	-1
1	21094077	21094157	ENSE00001465477	CCDS30621.1	ENST00000312239	7	81	-1
1	21151593	21151691	ENSE00002176939	"CCDS214.1,CCDS214.1"	"ENST00000264211,ENST00000400422"	"27,30"	99	-1
1	21188721	21188825	ENSE00001604127	"CCDS214.1,CCDS214.1"	"ENST00000400422,ENST00000264211"	"20,17"	105	-1
1	21548240	21548335	ENSE00000874520	"CCDS215.1,CCDS44082.1,CCDS44083.1,CCDS44081.1"	"ENST00000374893,ENST00000264205,ENST00000357071,ENST00000415912"	"18,17,16,18"	96	-1
1	21562343	21562420	ENSE00001651121	"CCDS44083.1,CCDS44081.1,CCDS215.1,CCDS44082.1"	"ENST00000357071,ENST00000415912,ENST00000374893,ENST00000264205"	"11,13,13,12"	78	-1
1	21563239	21563337	ENSE00001683641	"CCDS44082.1,CCDS44083.1,CCDS44081.1,CCDS215.1"	"ENST00000264205,ENST00000357071,ENST00000415912,ENST00000374893"	"11,10,12,12"	99	-1
1	21584018	21584083	ENSE00001746804	"CCDS215.1,CCDS44082.1,CCDS44083.1,CCDS44081.1"	"ENST00000374893,ENST00000264205,ENST00000357071,ENST00000415912"	"7,6,5,7"	66	-1
1	21616563	21616649	ENSE00001710745	"CCDS215.1,CCDS44081.1"	"ENST00000374893,ENST00000415912"	"2,2"	87	-1
1	21935343	21935429	ENSE00001653678	CCDS218.1	ENST00000374765	16	87	-1
1	21936068	21936139	ENSE00001758731	CCDS218.1	ENST00000374765	15	72	-1
1	21938519	21938602	ENSE00002330790	CCDS218.1	ENST00000374765	11	84	-1
1	21939669	21939722	ENSE00001042668	CCDS218.1	ENST00000374765	10	54	-1
1	21944427	21944465	ENSE00001277338	CCDS218.1	ENST00000374765	6	39	-1
1	21945518	21945565	ENSE00001042663	CCDS218.1	ENST00000374765	5	48	-1
1	22027991	22028095	ENSE00001178111	CCDS30623.1	ENST00000308271	22	105	-1
1	23664247	23664354	ENSE00001661139	"CCDS232.1,CCDS232.1,CCDS44085.1"	"ENST00000302271,ENST00000374612,ENST00000374616"	"4,4,4"	108	-1
1	23710839	23710910	ENSE00001654942	CCDS44086.1	ENST00000450454	10	72	-1
1	23745570	23745632	ENSE00001463973	CCDS44086.1	ENST00000450454	2	63	-1
1	23759918	23760025	ENSE00000859737	"CCDS235.1,CCDS44087.1,CCDS235.1"	"ENST00000336689,ENST00000437606,ENST00000485644"	"21,20,21"	108	-1
1	23767880	23767966	ENSE00001066308	"CCDS235.1,CCDS235.1,CCDS44087.1"	"ENST00000485644,ENST00000336689,ENST00000437606"	"9,9,8"	87	-1
1	23779190	23779264	ENSE00001066314	"CCDS235.1,CCDS235.1,CCDS44087.1"	"ENST00000485644,ENST00000336689,ENST00000437606"	"4,4,4"	75	-1
1	24075511	24075567	ENSE00000758369	CCDS239.2	ENST00000418390	2	57	1
1	24120714	24120815	ENSE00001662654	CCDS241.1	ENST00000374514	8	102	1
1	24122999	24123076	ENSE00002334615	CCDS242.1	ENST00000374497	10	78	-1
1	24143165	24143260	ENSE00001639422	CCDS243.1	ENST00000374490	4	96	-1
1	24143966	24144073	ENSE00001745098	CCDS243.1	ENST00000374490	3	108	-1
1	24147000	24147083	ENSE00001663468	CCDS243.1	ENST00000374490	2	84	-1
1	24710392	24710493	ENSE00001679933	"CCDS253.1,CCDS253.1"	"ENST00000003583,ENST00000440416"	"3,2"	102	-1
1	24766662	24766730	ENSE00001708545	CCDS30631.1	ENST00000374399	3	69	1
1	24972475	24972564	ENSE00001768046	CCDS255.1	ENST00000323848	2	90	1
1	25558595	25558702	ENSE00000839659	"CCDS259.1,CCDS258.1"	"ENST00000236273,ENST00000354361"	"2,2"	108	-1
1	25570041	25570124	ENSE00001400664	CCDS260.1	ENST00000243189	4	84	-1
1	26075746	26075826	ENSE00001263226	CCDS265.1	ENST00000374332	4	81	1
1	26140568	26140669	ENSE00002400352	"CCDS41283.1,CCDS41282.1"	"ENST00000374315,ENST00000361547"	"11,12"	102	1
1	26150135	26150239	ENSE00001762920	"CCDS41284.1,CCDS41284.1,CCDS41284.1,CCDS44089.1,CCDS44089.1"	"ENST00000374300,ENST00000374301,ENST00000374303,ENST00000474295,ENST00000466284"	"3,3,3,3,2"	105	1
1	26356091	26356198	ENSE00001036506	CCDS271.1	ENST00000374280	3	108	1
1	26358887	26358976	ENSE00001036493	CCDS271.1	ENST00000374280	7	90	1
1	26359720	26359806	ENSE00001036492	CCDS271.1	ENST00000374280	8	87	1
1	26386757	26386852	ENSE00001036596	CCDS273.1	ENST00000374272	4	96	-1
1	26508852	26508893	ENSE00000955775	CCDS276.1	ENST00000361530	5	42	1
1	26508971	26509075	ENSE00001607123	CCDS276.1	ENST00000361530	6	105	1
1	26509688	26509747	ENSE00000955777	CCDS276.1	ENST00000361530	7	60	1
1	26509837	26509905	ENSE00001436224	CCDS276.1	ENST00000361530	8	69	1
1	26510220	26510321	ENSE00001036693	CCDS276.1	ENST00000361530	9	102	1
1	26520278	26520379	ENSE00001367878	CCDS30645.1	ENST00000456354	3	102	1
1	26598512	26598562	ENSE00000896420	CCDS277.1	ENST00000252992	11	51	1
1	26601455	26601562	ENSE00000896419	CCDS277.1	ENST00000252992	12	108	1
1	26611955	26612032	ENSE00001768456	"CCDS41287.1,CCDS41288.1,CCDS41286.1,CCDS41288.1,CCDS41286.1"	"ENST00000314675,ENST00000374222,ENST00000357089,ENST00000374221,ENST00000374217"	"6,11,9,11,10"	78	-1
1	26786528	26786635	ENSE00002330463	"CCDS282.1,CCDS281.1"	"ENST00000236342,ENST00000360009"	"8,8"	108	1
1	26799974	26800018	ENSE00001435168	CCDS283.1	ENST00000361427	2	45	1
1	26800194	26800223	ENSE00001660566	CCDS283.1	ENST00000361427	3	30	1
1	26800576	26800626	ENSE00001436469	CCDS283.1	ENST00000361427	4	51	1
1	26801063	26801158	ENSE00001435639	CCDS283.1	ENST00000361427	5	96	1
1	26863416	26863460	ENSE00001671444	CCDS284.1	ENST00000374168	2	45	1
1	26887536	26887625	ENSE00001741292	"CCDS284.1,CCDS30649.1"	"ENST00000374168,ENST00000531382"	"16,15"	90	1
1	27250580	27250657	ENSE00001717352	CCDS292.1	ENST00000321265	2	78	1
1	27268244	27268309	ENSE00001222819	CCDS292.1	ENST00000321265	4	66	1
1	27271881	27271964	ENSE00001222803	CCDS292.1	ENST00000321265	7	84	1
1	27428216	27428317	ENSE00000760804	CCDS295.1	ENST00000263980	10	102	-1
1	27429714	27429803	ENSE00000760795	CCDS295.1	ENST00000263980	6	90	-1
1	27589643	27589726	ENSE00000956392	CCDS296.1	ENST00000361771	3	84	1
1	27688011	27688118	ENSE00001037710	"CCDS299.1,CCDS299.1"	"ENST00000357582,ENST00000493901"	"11,12"	108	-1
1	27691152	27691175	ENSE00001755515	"CCDS299.1,CCDS299.1"	"ENST00000357582,ENST00000493901"	"3,4"	24	-1
1	28086037	28086138	ENSE00000761751	"CCDS44092.1,CCDS44094.1,CCDS44093.1,CCDS44095.1,CCDS309.1"	"ENST00000010299,ENST00000373949,ENST00000234549,ENST00000419687,ENST00000373954"	"9,7,8,6,8"	102	1
1	28220801	28220908	ENSE00000761799	CCDS314.1	ENST00000373912	7	108	-1
1	28224144	28224218	ENSE00000761795	CCDS314.1	ENST00000373912	5	75	-1
1	28233692	28233793	ENSE00000956216	CCDS314.1	ENST00000373912	3	102	-1
1	28326471	28326560	ENSE00001342096	CCDS316.1	ENST00000373871	12	90	-1
1	28330847	28330930	ENSE00001645585	CCDS316.1	ENST00000373871	11	84	-1
1	28534853	28534924	ENSE00001159126	CCDS41292.1	ENST00000263697	6	72	-1
1	28541451	28541507	ENSE00000896290	CCDS41292.1	ENST00000263697	3	57	-1
1	28555433	28555534	ENSE00000896289	CCDS41292.1	ENST00000263697	2	102	-1
1	28595694	28595759	ENSE00000896283	CCDS321.1	ENST00000253063	2	66	1
1	28944465	28944542	ENSE00001269937	"CCDS326.1,CCDS326.1"	"ENST00000263974,ENST00000373824"	"3,3"	78	-1
1	29323727	29323831	ENSE00001065026	"CCDS332.1,CCDS331.1"	"ENST00000349460,ENST00000373800"	"5,5"	105	1
1	29385101	29385157	ENSE00001065039	CCDS332.1	ENST00000349460	14	57	1
1	29386934	29386996	ENSE00001065029	"CCDS332.1,CCDS331.1"	"ENST00000349460,ENST00000373800"	"15,14"	63	1
1	29435848	29435949	ENSE00001750622	"CCDS330.1,CCDS332.1"	"ENST00000347529,ENST00000349460"	"14,18"	102	1
1	29438880	29438960	ENSE00001649911	"CCDS332.1,CCDS331.1,CCDS330.1"	"ENST00000349460,ENST00000373800,ENST00000347529"	"19,17,15"	81	1
1	29633641	29633658	ENSE00001768465	CCDS44098.1	ENST00000356870	19	18	1
1	31208020	31208112	ENSE00001173956	CCDS337.1	ENST00000294507	7	93	-1
1	31210451	31210546	ENSE00001173964	CCDS337.1	ENST00000294507	6	96	-1
1	31501643	31501711	ENSE00001171922	"CCDS44099.1,CCDS338.1"	"ENST00000426105,ENST00000257075"	"3,3"	69	-1
1	31658094	31658174	ENSE00000762382	CCDS339.1	ENST00000263693	2	81	-1
1	31840240	31840341	ENSE00000825255	CCDS342.1	ENST00000373713	3	102	-1
1	32122001	32122045	ENSE00002364231	CCDS41297.1	ENST00000373672	66	45	-1
