chr	start	end	exon	CCDS	ranks	len	strand
1	27263152	27263235	ENSE00000956392	CCDS60044.1,CCDS296.1	3,3	84	1
1	21865717	21865809	ENSE00000956520	CCDS30625.1	34	93	-1
1	21865285	21865365	ENSE00000956521	CCDS30625.1	35	81	-1
1	62544947	62545039	ENSE00000956715	CCDS60156.1	23	93	-1
1	62543656	62543745	ENSE00000956716	CCDS30734.1,CCDS60156.1	23,24	90	-1
1	31697220	31697300	ENSE00000957114	CCDS41297.1	7	81	-1
1	31679632	31679685	ENSE00000957124	CCDS41297.1	42	54	-1
1	44875618	44875695	ENSE00000957325	CCDS517.1,CCDS53313.1,CCDS72775.1	9,9,9	78	-1
1	43602071	43602097	ENSE00000957343	CCDS489.2	14	27	1
1	44785599	44785676	ENSE00000957413	CCDS514.1	5	78	-1
1	44784905	44784985	ENSE00000957415	CCDS514.1	7	81	-1
1	110897809	110897892	ENSE00000958193	CCDS829.1	7	84	1
1	109467059	109467133	ENSE00000958195	CCDS41365.1	2	75	1
1	167685421	167685510	ENSE00000958444	CCDS1263.1	3	90	1
1	167690049	167690120	ENSE00000958445	CCDS1263.1	4	72	1
1	166989737	166989829	ENSE00000958583	CCDS1257.1	2	93	1
